channel_ref,channel_name,source,notes,channel_id
@jacksepticeye,Jacksepticeye,hand_seed,gaming,
@markiplier,Markiplier,hand_seed,gaming,
@VanossGaming,VanossGaming,hand_seed,gaming,
@DanTDM,DanTDM,hand_seed,gaming,
@RTGame,RTGame,hand_seed,gaming,
@dunkey,videogamedunkey,hand_seed,gaming,
@LudwigAhgren,Ludwig,hand_seed,gaming,
@CallMeKevin,CallMeKevin,hand_seed,gaming,
@Kwebbelkop,Kwebbelkop,hand_seed,gaming,
@Aphmau,Aphmau,hand_seed,gaming,
https://www.youtube.com/channel/UCbh4j9kNEDqHPud9h5bNmWQ,Savv4x,search:let's play,,UCbh4j9kNEDqHPud9h5bNmWQ
https://www.youtube.com/channel/UCp_TjaVHcT4Dj0qpj8KOTYA,ZeeKay Junior,search:let's play,,UCp_TjaVHcT4Dj0qpj8KOTYA
https://www.youtube.com/channel/UCI9xZDIcR7Ei-s2g_6ru1sw,Neurotic Goose,search:let's play,,UCI9xZDIcR7Ei-s2g_6ru1sw
https://www.youtube.com/channel/UC6yzV_xgKn8r77FkcmZyMSg,PlayStation Access,search:let's play,,UC6yzV_xgKn8r77FkcmZyMSg
https://www.youtube.com/channel/UC7_THngP20pzk5VRHNKDvtg,Squeezie - Rediffusions,search:let's play,,UC7_THngP20pzk5VRHNKDvtg
https://www.youtube.com/channel/UCkxctb0jr8vwa4Do6c6su0Q,LetsPlay,search:let's play,,UCkxctb0jr8vwa4Do6c6su0Q
https://www.youtube.com/channel/UCcV_JGdn_Aw99JW7J2SRBzA,TheNeoCubest,search:let's play,,UCcV_JGdn_Aw99JW7J2SRBzA
https://www.youtube.com/channel/UC6iyrmtXY7E3QwI-J3PlX-A,Let's Play,search:let's play,,UC6iyrmtXY7E3QwI-J3PlX-A
https://www.youtube.com/channel/UCTAf2cEgvkC72sc_QP8LE5Q,DeeMula OfficialPage,search:let's play,,UCTAf2cEgvkC72sc_QP8LE5Q
https://www.youtube.com/channel/UCm9SZAl03Rev9sFwloCdz1g,Rehaan Records,search:let's play,,UCm9SZAl03Rev9sFwloCdz1g
https://www.youtube.com/channel/UCck4YyykoNPTUmXntpQrZrg,Dallasmed65,search:let's play,,UCck4YyykoNPTUmXntpQrZrg
https://www.youtube.com/channel/UC67SGAcDCxdw4RwwZMgYfLQ,Kelsey Impicciche,search:let's play,,UC67SGAcDCxdw4RwwZMgYfLQ
https://www.youtube.com/channel/UCv6b9j3u-uy2GpxbBvD28wA,sparksby,search:let's play,,UCv6b9j3u-uy2GpxbBvD28wA
https://www.youtube.com/channel/UCtKcVd4QbAJRFq-PIf22u7g,ChipCheezumLPs,search:let's play,,UCtKcVd4QbAJRFq-PIf22u7g
https://www.youtube.com/channel/UCkoovQZX5QP5Z0eI7e9KAxw,Chazington,search:let's play,,UCkoovQZX5QP5Z0eI7e9KAxw
https://www.youtube.com/channel/UCgPF2U5Y1vxDjOnjCkk5VTA,Dabeull,search:let's play,,UCgPF2U5Y1vxDjOnjCkk5VTA
https://www.youtube.com/channel/UCk2vOj0Acaa5YQrDaN29KnQ,Tha Dogg Pound - Topic,search:let's play,,UCk2vOj0Acaa5YQrDaN29KnQ
https://www.youtube.com/channel/UC7OkzBAbCXUVm6mW0aNgIPQ,Dean on Vacation,search:let's play,,UC7OkzBAbCXUVm6mW0aNgIPQ
https://www.youtube.com/channel/UCj2iiYhHjCHlYl9FdRjY1sQ,Sophia & Noelle,search:let's play,,UCj2iiYhHjCHlYl9FdRjY1sQ
https://www.youtube.com/channel/UCzpCc5n9hqiVC7HhPwcIKEg,Good Mythical MORE,search:let's play,,UCzpCc5n9hqiVC7HhPwcIKEg
https://www.youtube.com/channel/UCCzF0ncfBIZu-JVNTORZM-w,Baby Kia,search:let's play,,UCCzF0ncfBIZu-JVNTORZM-w
https://www.youtube.com/channel/UCgK_2VQWwigtTr_5TviGy2w,Play Nintendo,search:let's play,,UCgK_2VQWwigtTr_5TviGy2w
https://www.youtube.com/channel/UCdX39_BP-CO-CxCUIQNMPHQ,Fräulein Bissig,search:let's play,,UCdX39_BP-CO-CxCUIQNMPHQ
https://www.youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,search:let's play,,UC7_YxT-KID8kRbqZo7MyscQ
https://www.youtube.com/channel/UCw6DW3DeJTj9EIHdEG8B4dw,Tom Toce,search:let's play,,UCw6DW3DeJTj9EIHdEG8B4dw
https://www.youtube.com/channel/UCNcdbMyA59zE-Vk668bKWOg,Disney Jr. ,search:let's play,,UCNcdbMyA59zE-Vk668bKWOg
https://www.youtube.com/channel/UCY-iLo3GF_KDoYbfZ0Dqg9Q,Top Gaming Plays,search:funny gaming moments,,UCY-iLo3GF_KDoYbfZ0Dqg9Q
https://www.youtube.com/channel/UCN17Z31n_ionhzAjyV7pmXw,Nano,search:funny gaming moments,,UCN17Z31n_ionhzAjyV7pmXw
https://www.youtube.com/channel/UCt8CdzMEoTie3iix3KmvV7A,GameSprout,search:funny gaming moments,,UCt8CdzMEoTie3iix3KmvV7A
https://www.youtube.com/channel/UC8f80fwHF6nGLal5_1x0Slw,Canooon,search:funny gaming moments,,UC8f80fwHF6nGLal5_1x0Slw
https://www.youtube.com/channel/UCHZZo1h1cI1vg4I9g2RqOUQ,Red Arcade,search:funny gaming moments,,UCHZZo1h1cI1vg4I9g2RqOUQ
https://www.youtube.com/channel/UCCY0PEQgZbhXm6-0WHiHJEw,daukey,search:funny gaming moments,,UCCY0PEQgZbhXm6-0WHiHJEw
https://www.youtube.com/channel/UCBZEL0hguMlvNO-r3iZkd9w,CouRage Reacts,search:funny gaming moments,,UCBZEL0hguMlvNO-r3iZkd9w
https://www.youtube.com/channel/UCCiXhU3iDW6Htb3gI0kkh_A,JuicedSpot,search:funny gaming moments,,UCCiXhU3iDW6Htb3gI0kkh_A
https://www.youtube.com/channel/UCKqH_9mk1waLgBiL2vT5b9g,VanossGaming,search:funny gaming moments,,UCKqH_9mk1waLgBiL2vT5b9g
