channel_ref,channel_name,source,notes,channel_id
@GrahamStephan,Graham Stephan,hand_seed,real-estate/personal-finance explainers,
@AndreiJikh,Andrei Jikh,hand_seed,investing/dividends explainers,
@NateOBrien,Nate O'Brien,hand_seed,minimalism/personal-finance,
@MinorityMindset,Minority Mindset,hand_seed,investing/financial-education,
@ThePlainBagel,The Plain Bagel,hand_seed,investing explainers (CFA),
@BenFelixCSI,Ben Felix,hand_seed,evidence-based investing,
@humphrey,Humphrey Yang,hand_seed,personal-finance explainers,
@WhiteBoardFinance,Marko - WhiteBoard Finance,hand_seed,personal-finance/investing,
@itsrosehan,Rose Han,hand_seed,personal-finance/investing,
@TaeKimFinancialTortoise,Tae Kim - Financial Tortoise,hand_seed,personal-finance explainers,
@OurRichJourney,Our Rich Journey,hand_seed,FIRE/investing,
@MoneyGuyShow,The Money Guy Show,hand_seed,personal-finance/financial-planning,
@TwoCentsPBS,Two Cents,hand_seed,PBS personal-finance explainers,
@DebtFreeMillennials,Debt Free Millennials,hand_seed,budgeting/debt-payoff,
@Erika2,Erika Kullberg,hand_seed,personal-finance/legal-money tips,
https://www.youtube.com/channel/UCbrSe4uBIeqJweOYnJAOsrw,EverythingProfessor,search:personal finance explained,,UCbrSe4uBIeqJweOYnJAOsrw
https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,search:personal finance explained,,UC2UXDak6o7rBm23k3Vv5dww
https://www.youtube.com/channel/UCCp25biKIOhhropSN3EcRlQ,The Wealth Workshop,search:personal finance explained,,UCCp25biKIOhhropSN3EcRlQ
https://www.youtube.com/channel/UCftwRNsjfRo08xYE31tkiyw,WIRED,search:personal finance explained,,UCftwRNsjfRo08xYE31tkiyw
https://www.youtube.com/channel/UCFBpVaKCC0ajGps1vf0AgBg,Humphrey Yang,search:personal finance explained,,UCFBpVaKCC0ajGps1vf0AgBg
https://www.youtube.com/channel/UCF4FuVxYhQ4-nn3EgyakxgQ,HarlemEconomics,search:personal finance explained,,UCF4FuVxYhQ4-nn3EgyakxgQ
https://www.youtube.com/channel/UCQUnqaW8Q33siyLYhisN7HQ,Antidote,search:personal finance explained,,UCQUnqaW8Q33siyLYhisN7HQ
