channel_ref,channel_name,source,notes,channel_id
@mkbhd,Marques Brownlee,hand_seed,tech_reviews,
@UnboxTherapy,Unbox Therapy,hand_seed,tech_reviews,
@LinusTechTips,Linus Tech Tips,hand_seed,tech_reviews,
@Mrwhosetheboss,Mrwhosetheboss,hand_seed,tech_reviews,
@Dave2D,Dave2D,hand_seed,tech_reviews,
@austinevans,Austin Evans,hand_seed,tech_reviews,
@ijustine,iJustine,hand_seed,tech_reviews,
@JerryRigEverything,JerryRigEverything,hand_seed,tech_reviews,
@SnazzyLabs,Snazzy Labs,hand_seed,tech_reviews,
@DetroitBORG,DetroitBORG,hand_seed,tech_reviews,
https://www.youtube.com/channel/UCdoDYkupTElV62K7ttA_E4w,TechBar,search:smartphone review,,UCdoDYkupTElV62K7ttA_E4w
https://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,search:smartphone review,,UCBJycsmduvYEL83R_U4JriQ
https://www.youtube.com/channel/UCdBK94H6oZT2Q7l0-b0xmMg,ShortCircuit,search:smartphone review,,UCdBK94H6oZT2Q7l0-b0xmMg
https://www.youtube.com/channel/UCVLN0tY51ewH44wUtx3YZTA,Tech Spurt,search:smartphone review,,UCVLN0tY51ewH44wUtx3YZTA
https://www.youtube.com/channel/UCWFKCr40YwOZQx8FHU_ZqqQ,JerryRigEverything,search:smartphone review,,UCWFKCr40YwOZQx8FHU_ZqqQ
https://www.youtube.com/channel/UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,search:smartphone review,,UCOhHO2ICt0ti9KAh-QHvttQ
https://www.youtube.com/channel/UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,search:smartphone review,,UCMiJRAwDNSNzuYeN2uWa0pA
https://www.youtube.com/channel/UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,search:smartphone review,,UCdp6GUwjKscp5ST4M4WgIpw
https://www.youtube.com/channel/UCO2x-p9gg9TLKneXlibGR7w,Snazzy Labs,search:smartphone review,,UCO2x-p9gg9TLKneXlibGR7w
https://www.youtube.com/channel/UCCqepY-W86CAXNHbnUwR5ow,SwagTab,search:smartphone review,,UCCqepY-W86CAXNHbnUwR5ow
https://www.youtube.com/channel/UCgyqtNWZmIxTx3b6OxTSALw,Android Authority,search:smartphone review,,UCgyqtNWZmIxTx3b6OxTSALw
https://www.youtube.com/channel/UC66ysWRFWfg-V5RhnQN4wFg,Gadget Evolution,search:smartphone review,,UC66ysWRFWfg-V5RhnQN4wFg
https://www.youtube.com/channel/UCZFJqMf_h9F3yfjLtrl0frA,Mark's Tech,search:smartphone review,,UCZFJqMf_h9F3yfjLtrl0frA
https://www.youtube.com/channel/UCIrrRLyFMVmmL9NDAU2obJA,SuperSaf,search:smartphone review,,UCIrrRLyFMVmmL9NDAU2obJA
