model,outcome,term,coef,se,t,p,ci_low,ci_high,n_obs,n_channels
core_thumbnail,engagement_rate,formula_adherence_thumbnail_z,-0.0014095196173608351,0.0007002817132766966,-2.0127894112292823,0.04419197484604975,-0.002782389307290717,-3.664992743095314e-05,4924,74
core_title,engagement_rate,formula_adherence_title_z,-0.00220444533500401,0.0007549259588678238,-2.920081511450549,0.003515526650172296,-0.0036844425238801645,-0.0007244481461278554,4924,74
core_combined,engagement_rate,formula_adherence_combined_z,-0.0022922802489139765,0.0007861673987685379,-2.915766098294882,0.003564429131782676,-0.0038335248259430605,-0.0007510356718848925,4924,74
core_thumbnail_logviews,log_views,formula_adherence_thumbnail_z,0.11520540065811946,0.024670752865376767,4.669715646164982,3.0958503940414772e-06,0.06683980167176477,0.16357099964447414,5033,75
core_title_logviews,log_views,formula_adherence_title_z,0.08956722938405905,0.029578882334248338,3.028080249007662,0.0024737957189737703,0.031579523485932695,0.14755493528218538,5033,75
core_combined_logviews,log_views,formula_adherence_combined_z,0.1187025866682164,0.028558161862202593,4.156520550621366,3.285817832332505e-05,0.06271594483560589,0.1746892285008269,5033,75
wearout_thumbnail_dose,engagement_rate,dose_thumbnail_z,-0.00031047297919676144,0.0005916809559061131,-0.5247303907581348,0.5997946200703947,-0.0014704359413472295,0.0008494899829537066,4924,74
wearout_thumbnail_winshare,engagement_rate,winshare_thumbnail_z,-0.0003358109916727782,0.000650701957427993,-0.5160749677165974,0.605825586371779,-0.0016114818789660498,0.0009398598956204935,4924,74
wearout_thumbnail_streak,engagement_rate,streak_thumbnail_z,-0.0001009707803494035,0.000304799874513075,-0.33126910078525035,0.7404555467211913,-0.0006985167411820167,0.0004965751804832097,4924,74
wearout_thumbnail_nonlin_lin,engagement_rate,dose_thumbnail_z,-0.00020772928496068138,0.0005376364834779616,-0.3863749789018856,0.6992359376272912,-0.0012617406298260222,0.0008462820599046594,4924,74
wearout_thumbnail_nonlin_sq,engagement_rate,dose_thumbnail_z_sq,0.00021115417575608066,0.00023736160432372708,0.8895885935624902,0.37373098180020903,-0.0002541822206399086,0.0006764905721520699,4924,74
wearout_thumbnail_rebound,engagement_rate,tmpl_sim_thumbnail_z,-0.0011924141597441365,0.0007100581872439435,-1.679318936342998,0.09315339737346728,-0.002584445084489086,0.00019961676500081325,4996,74
wearout_title_dose,engagement_rate,dose_title_z,-0.0007162036260960362,0.0006011732712788337,-1.1913430957642321,0.23357724286683235,-0.0018947758305205697,0.0004623685783284972,4924,74
