model,outcome,term,coef,se,t,p,ci_low,ci_high,n_obs,n_channels
core_thumbnail,engagement_rate,formula_adherence_thumbnail_z,-0.0008102151423306322,0.0006644239034441479,-1.2194250359307546,0.2227182535410983,-0.002112655775047615,0.0004922254903863503,8216,76
core_title,engagement_rate,formula_adherence_title_z,-0.001061902665532397,0.0005783962715222965,-1.835943137630447,0.06640252914158218,-0.002195707156818236,7.190182575344205e-05,8216,76
core_combined,engagement_rate,formula_adherence_combined_z,-0.0012629612663045756,0.000650178122931345,-1.9424850233509579,0.052112862293681506,-0.0025374765289551543,1.1553996346003398e-05,8216,76
core_thumbnail_logviews,log_views,formula_adherence_thumbnail_z,0.05899803113713014,0.02415072954442186,2.4429088582442855,0.01459014622224819,0.011656558216885514,0.10633950405737477,8368,77
core_title_logviews,log_views,formula_adherence_title_z,0.07061304750410727,0.023185878067329243,3.0455196606768453,0.0023300824606167225,0.025162924904805158,0.11606317010340939,8368,77
core_combined_logviews,log_views,formula_adherence_combined_z,0.07744197320947066,0.02300778308349298,3.3659033088255987,0.0007664009807115679,0.0323409613415445,0.12254298507739682,8368,77
wearout_thumbnail_dose,engagement_rate,dose_thumbnail_z,0.0006777144606035159,0.00048825118784271256,1.3880446734762228,0.16516143972912412,-0.0002793826316628775,0.0016348115528699093,8216,76
wearout_thumbnail_winshare,engagement_rate,winshare_thumbnail_z,0.0006193511969292962,0.0005038583488363714,1.2292168986772734,0.21902603450178249,-0.0003683399190230702,0.0016070423128816626,8216,76
wearout_thumbnail_streak,engagement_rate,streak_thumbnail_z,0.0005506964061906007,0.00036056603766877944,1.5273108076154345,0.1267226065069793,-0.00015610516401668914,0.0012574979763978907,8216,76
wearout_thumbnail_nonlin_lin,engagement_rate,dose_thumbnail_z,0.0006916858424306302,0.0004592902063688035,1.505988659978559,0.1321089015173671,-0.0002086403421307924,0.0015920120269920528,8216,76
wearout_thumbnail_nonlin_sq,engagement_rate,dose_thumbnail_z_sq,2.6006777522062892e-05,0.000208988579788154,0.12444114194385765,0.9009690737914653,-0.0003836642497466767,0.00043567780479080245,8216,76
wearout_thumbnail_rebound,engagement_rate,tmpl_sim_thumbnail_z,-0.0007037606280494677,0.0006832957264305684,-1.029950284814168,0.30306367717374916,-0.002043193060771996,0.0006356718046730605,8290,76
wearout_title_dose,engagement_rate,dose_title_z,-0.0002912663130521107,0.000493319727355281,-0.5904209722437176,0.5549248482421585,-0.0012582990379402096,0.0006757664118359883,8216,76
wearout_title_winshare,engagement_rate,winshare_title_z,-0.00017817050000805981,0.0004835260220871519,-0.36848171943049207,0.7125236582716059,-0.0011260050599596711,0.0007696640599435516,8216,76
wearout_title_streak,engagement_rate,streak_title_z,0.0001213643095237554,0.00033335428051724486,0.3640700498443939,0.7158151594051072,-0.0005320952631755161,0.0007748238822230268,8216,76
wearout_title_nonlin_lin,engagement_rate,dose_title_z,-0.00030467280785010563,0.0004766156735349583,-0.6392421079869477,0.5226834373760099,-0.001238961335899695,0.0006296157201994839,8216,76
wearout_title_nonlin_sq,engagement_rate,dose_title_z_sq,-4.617805372552863e-05,0.00022310149649500382,-0.20698226794082822,0.8360288859051255,-0.0004835140045557089,0.0003911578971046516,8216,76
wearout_title_rebound,engagement_rate,tmpl_sim_title_z,-0.0008515167166186322,0.000620744625793186,-1.3717665546126414,0.17017359677404653,-0.0020683331726046015,0.0003652997393673369,8290,76
wearout_combined_dose,engagement_rate,dose_combined_z,0.00022712758599547335,0.0005103992000448713,0.4449998863154676,0.6563316715930385,-0.0007733852697262576,0.0012276404417172044,8216,76
wearout_combined_winshare,engagement_rate,winshare_combined_z,0.00024899516001415016,0.0005205652106812668,0.4783169426329676,0.6324374882006711,-0.0007714456743020285,0.0012694359943303288,8216,76
