model,outcome,term,coef,se,t,p,ci_low,ci_high,n_obs,n_channels
core_thumbnail,engagement_rate,formula_adherence_thumbnail_z,-0.0014458756515806626,0.00025669874594424607,-5.632577776187114,1.853226860859536e-08,-0.001949094091565328,-0.0009426572115959971,6280,72
core_title,engagement_rate,formula_adherence_title_z,-0.0018691957860912573,0.00028015416044669875,-6.672025798620559,2.7412738745624665e-11,-0.00241839496139935,-0.001319996610783165,6280,72
core_combined,engagement_rate,formula_adherence_combined_z,-0.0020116053947387934,0.0002871806453534744,-7.004669107358619,2.737143844910861e-12,-0.0025745789138223374,-0.0014486318756552494,6280,72
core_thumbnail_logviews,log_views,formula_adherence_thumbnail_z,0.05753499348003885,0.035748405773783805,1.6094422180424142,0.10756991824375839,-0.012544094417067567,0.12761408137714525,6358,73
core_title_logviews,log_views,formula_adherence_title_z,0.08389057624204418,0.03789730730285308,2.213628941276483,0.026890099921416777,0.009598907227591547,0.15818224525649682,6358,73
core_combined_logviews,log_views,formula_adherence_combined_z,0.08075578077115779,0.04152320702529316,1.9448348660055752,0.05183941479520682,-0.0006438904004516521,0.16215545194276723,6358,73
wearout_thumbnail_dose,engagement_rate,dose_thumbnail_z,-0.0007238737805820259,0.00027569635845587156,-2.6256196659118745,0.008670364199901082,-0.001264334120196422,-0.0001834134409676297,6280,72
wearout_thumbnail_winshare,engagement_rate,winshare_thumbnail_z,-0.0007554216694478018,0.00026085176997768365,-2.895980615782019,0.0037929585670704036,-0.0012667814747813234,-0.0002440618641142803,6280,72
wearout_thumbnail_streak,engagement_rate,streak_thumbnail_z,-0.0003937720885878335,0.00020601287567637694,-1.9113955246486882,0.05599978425666485,-0.000797628669707002,1.0084492531335046e-05,6280,72
wearout_thumbnail_nonlin_lin,engagement_rate,dose_thumbnail_z,-0.0006593533366165722,0.00026974500125358426,-2.444357943807535,0.014538662846489192,-0.0011881469717100815,-0.00013055970152306287,6280,72
