model,outcome,term,coef,se,t,p,ci_low,ci_high,n_obs,n_channels
core_thumbnail,engagement_rate,formula_adherence_thumbnail_z,-0.0009648548220862157,0.0002647508355139866,-3.644388204528416,0.0002697242519538179,-0.0014838353164408086,-0.00044587432773162284,8089,74
core_title,engagement_rate,formula_adherence_title_z,-0.0014484385503759688,0.00028031660494645216,-5.167152158726589,2.4342008031474904e-07,-0.001997932001184079,-0.0008989450995678587,8089,74
core_combined,engagement_rate,formula_adherence_combined_z,-0.0015019846535146769,0.00028962597991309447,-5.185945867029485,2.2017853451572478e-07,-0.00206972690045195,-0.0009342424065774037,8089,74
core_thumbnail_logviews,log_views,formula_adherence_thumbnail_z,0.02569292712021482,0.03621397745930892,0.7094754269697148,0.47804976137215105,-0.04529569150159187,0.09668154574202151,8239,75
core_title_logviews,log_views,formula_adherence_title_z,0.0879773674239949,0.03754355047050783,2.3433417010760644,0.019135744479006123,0.014382447090980147,0.16157228775700966,8239,75
core_combined_logviews,log_views,formula_adherence_combined_z,0.06674490007071443,0.041489625465653684,1.6087130052780976,0.1077177861217633,-0.014585332220182184,0.14807513236161104,8239,75
wearout_thumbnail_dose,engagement_rate,dose_thumbnail_z,-0.0004669966812395439,0.00024874652754866154,-1.8773998006793753,0.06049961598383291,-0.0009546045695605337,2.0611207081445927e-05,8089,74
wearout_thumbnail_winshare,engagement_rate,winshare_thumbnail_z,-0.0005270894901244895,0.00022654912538302036,-2.3266013021827114,0.020011299295951135,-0.0009711846970711326,-8.299428317784638e-05,8089,74
wearout_thumbnail_streak,engagement_rate,streak_thumbnail_z,-0.0002045340760479008,0.000193796280744209,-1.0554076438539322,0.29127074811306763,-0.0005844251890993558,0.0001753570370035542,8089,74
wearout_thumbnail_nonlin_lin,engagement_rate,dose_thumbnail_z,-0.0003988889565562488,0.000249936525377757,-1.595961038321083,0.11053693196159586,-0.0008888295593566654,9.10516462441678e-05,8089,74
wearout_thumbnail_nonlin_sq,engagement_rate,dose_thumbnail_z_sq,0.00013494082090156163,0.0001048836239083268,1.2865766444102489,0.19827906191647937,-7.065836410699716e-05,0.00034054000591012044,8089,74
wearout_thumbnail_rebound,engagement_rate,tmpl_sim_thumbnail_z,-0.0010848580404725489,0.0002718227971088754,-3.991048771520153,6.63632442847728e-05,-0.0016177007217159792,-0.0005520153592291184,8159,74
wearout_title_dose,engagement_rate,dose_title_z,-0.0007706535466836191,0.0002550215932389607,-3.0219148774649063,0.0025197448897678054,-0.0012705621957849727,-0.0002707448975822655,8089,74
wearout_title_winshare,engagement_rate,winshare_title_z,-0.0006554828197462162,0.00024333521046880253,-2.6937442324248186,0.0070801506275190995,-0.0011324831192081849,-0.00017848252028424748,8089,74
wearout_title_streak,engagement_rate,streak_title_z,-0.00046360417200934557,0.00018560355385236851,-2.4978194780586063,0.012515872093867175,-0.0008274354095775562,-9.977293444113496e-05,8089,74
wearout_title_nonlin_lin,engagement_rate,dose_title_z,-0.0007896780790925639,0.00026871084304333276,-2.9387652174691703,0.0033046269894829727,-0.0013164212280607976,-0.00026293493012433024,8089,74
wearout_title_nonlin_sq,engagement_rate,dose_title_z_sq,-4.018968536435799e-05,9.621386412957677e-05,-0.41771199741268283,0.6761688929869267,-0.00022879388604353306,0.0001484145153148171,8089,74
wearout_title_rebound,engagement_rate,tmpl_sim_title_z,-0.0019185679549187577,0.000310155491696512,-6.185826162304686,6.478195757608773e-10,-0.002526552588863016,-0.0013105833209744993,8159,74
wearout_combined_dose,engagement_rate,dose_combined_z,-0.0007337452999971586,0.0002705068061121933,-2.7124836914189734,0.006692364985476207,-0.0012640089937446764,-0.0002034816062496407,8089,74
wearout_combined_winshare,engagement_rate,winshare_combined_z,-0.000691137357395729,0.0002546614574680638,-2.713945660514419,0.0066629300820608695,-0.0011903400467215375,-0.0001919346680699205,8089,74
wearout_combined_streak,engagement_rate,streak_combined_z,-0.00046245117383841264,0.00018859939560949234,-2.452028928003294,0.01422650832439909,-0.0008321550404130693,-9.274730726375601e-05,8089,74
wearout_combined_nonlin_lin,engagement_rate,dose_combined_z,-0.0007609283485313637,0.0002854963834844455,-2.665281917915506,0.007707804826294629,-0.0013205755229901486,-0.0002012811740725787,8089,74
wearout_combined_nonlin_sq,engagement_rate,dose_combined_z_sq,-5.2939928645623794e-05,0.00012068346610094598,-0.43866761832430357,0.6609142217897028,-0.0002895109141795499,0.0001836310568883023,8089,74
wearout_combined_rebound,engagement_rate,tmpl_sim_combined_z,-0.0019467076854324285,0.0003061928280225451,-6.357783420352,2.1579116271652765e-10,-0.0025469244781236343,-0.0013464908927412228,8159,74
week_thumbnail,engagement_rate,_hom_thumbnail_z,-0.000883081507747573,0.00031752349993208624,-2.781153230978027,0.005450242928421556,-0.0015056658167196635,-0.00026049719877548256,3090,71
week_title,engagement_rate,_hom_title_z,-0.0018010877131682819,0.0003507642380200328,-5.134752970641832,3.0044578980259473e-07,-0.002488848810493464,-0.0011133266158430998,3090,71
week_combined,engagement_rate,_hom_combined_z,-0.0016291866247986285,0.0003310914908545265,-4.920653866983411,9.088122485678696e-07,-0.002278374376521866,-0.0009799988730753912,3090,71
direction_thumbnail_forward,engagement,_hom_lag_z,-0.004876781572241761,0.02064325783624653,-0.23624088847443686,0.813262164635256,-0.0453534419003056,0.03559987875582207,3015,66
direction_thumbnail_reverse,homogeneity,_eng_lag_z,-0.03422219876627397,0.02139846793806977,-1.5992826619792555,0.1098641041071513,-0.07617951249623442,0.007735114963686479,3040,67
direction_title_forward,engagement,_hom_lag_z,-0.043670365551292015,0.020251107302356672,-2.156443344024452,0.031129694660965157,-0.08337810926340108,-0.003962621839182952,3015,66
direction_title_reverse,homogeneity,_eng_lag_z,-0.02770898539104227,0.022091735026880808,-1.2542693164356036,0.20984276985981087,-0.07102563123898821,0.015607660456903674,3040,67
direction_combined_forward,engagement,_hom_lag_z,-0.03034119193203221,0.0197688939080353,-1.5347946158838799,0.12494159450274345,-0.06910342656207587,0.008421042698011447,3015,66
