model,outcome,term,coef,se,t,p,ci_low,ci_high,n_obs,n_channels
core_thumbnail,engagement_rate,formula_adherence_thumbnail_z,-3.20376556807142e-05,0.00026163621372177285,-0.12245115163905956,0.9025429344843077,-0.0005448655923330292,0.00048079028097160073,20671,238
core_title,engagement_rate,formula_adherence_title_z,-0.000688855338428091,0.0002148477650310678,-3.206248565483006,0.001346846843727656,-0.0011099741665461702,-0.00026773651031001183,20672,238
core_combined,engagement_rate,formula_adherence_combined_z,-0.0005099564452921253,0.00020026680563716147,-2.5463852767295445,0.010891771188766164,-0.0009024954262455446,-0.00011741746433870608,20671,238
core_thumbnail_logviews,log_views,formula_adherence_thumbnail_z,-0.015385360550441799,0.01659314802229235,-0.9272116737446126,0.35382740093024023,-0.04790922555498902,0.017138504454105426,21041,238
core_title_logviews,log_views,formula_adherence_title_z,0.06950758100029654,0.016129330418789993,4.30939035877913,1.6445670306675098e-05,0.037892834782024765,0.10112232721856831,21042,238
core_combined_logviews,log_views,formula_adherence_combined_z,0.03638798158503534,0.01635005429908241,2.225557231762679,0.02605453059721974,0.004340599248304433,0.06843536392176625,21041,238
wearout_thumbnail_dose,engagement_rate,dose_thumbnail_z,0.00041078393370299883,0.0003306312336078324,1.2424232557237376,0.21409469946250526,-0.000237279768610868,0.0010588476360168656,20671,238
wearout_thumbnail_winshare,engagement_rate,winshare_thumbnail_z,0.00041233298722016077,0.0003413974899012265,1.207779785784182,0.2271459593939691,-0.00025683343983456567,0.0010814994142748873,20671,238
wearout_thumbnail_streak,engagement_rate,streak_thumbnail_z,4.1885794749061113e-05,0.00018456867713257944,0.22693880348383108,0.8204735988067784,-0.00031988359687346897,0.0004036551863715912,20671,238
wearout_thumbnail_nonlin_lin,engagement_rate,dose_thumbnail_z,0.0004353106337758149,0.00033636275774423166,1.2941701295802273,0.1956212907291217,-0.00022398731686764327,0.001094608584419273,20671,238
wearout_thumbnail_nonlin_sq,engagement_rate,dose_thumbnail_z_sq,7.711876737036676e-05,0.00012403492907396972,0.6217504048748724,0.5341129400369973,-0.00016599962984784405,0.0003202371645885776,20671,238
wearout_thumbnail_rebound,engagement_rate,tmpl_sim_thumbnail_z,-0.0003548261723676585,0.00031333242918019896,-1.1324272220913216,0.2574680054653107,-0.0009689824220510405,0.0002593300773157235,20904,238
wearout_title_dose,engagement_rate,dose_title_z,0.000332168326181798,0.0003643151184074282,0.911761026096976,0.3619052879545359,-0.0003819184864375947,0.0010462551388011909,20672,238
wearout_title_winshare,engagement_rate,winshare_title_z,0.00040976736697634906,0.000440979613100309,0.9292206596479096,0.3527857203667746,-0.00045458799583560517,0.0012741227297883033,20672,238
