model,outcome,term,coef,se,t,p,ci_low,ci_high,n_obs,n_channels
core_thumbnail,engagement_rate,formula_adherence_thumbnail_z,-0.0002000386315907052,0.0002100040984665693,-0.9525463219592807,0.34105178511742573,-0.0006121414014330698,0.00021206413825165942,1009,14
core_title,engagement_rate,formula_adherence_title_z,-0.0011551265352968735,0.0005241406814789234,-2.2038482722568884,0.02776388193334367,-0.00218367706455673,-0.0001265760060370168,1009,14
core_combined,engagement_rate,formula_adherence_combined_z,-0.0008753642067133377,0.0004593286089254744,-1.9057471921052598,0.05697156256590574,-0.0017767303866508288,2.6001973224153282e-05,1009,14
core_thumbnail_logviews,log_views,formula_adherence_thumbnail_z,-0.0074344180423046875,0.050310499790346866,-0.1477707053852631,0.8825537279537636,-0.10616152130908289,0.09129268522447352,1009,14
core_title_logviews,log_views,formula_adherence_title_z,0.06569907925001327,0.05395341276423978,1.2177001580437279,0.22362721113467376,-0.040176715579443856,0.1715748740794704,1009,14
core_combined_logviews,log_views,formula_adherence_combined_z,0.042919525185509136,0.04564799743865529,0.9402279967086651,0.3473292799067591,-0.04665808934481705,0.13249713971583532,1009,14
week_thumbnail,engagement_rate,_hom_thumbnail_z,-0.000481473218246431,0.00020485870151505593,-2.3502697941832142,0.019008999618546296,-0.0008836153113945567,-7.933112509830539e-05,792,14
week_title,engagement_rate,_hom_title_z,-0.0011413509102956424,0.0005443122091931085,-2.0968681044057185,0.03632796289238449,-0.0022098476327300073,-7.285418786127777e-05,792,14
week_combined,engagement_rate,_hom_combined_z,-0.0009465949474979559,0.00043244369225779055,-2.1889438196121653,0.028897814734961225,-0.001795491334554626,-9.769856044128573e-05,792,14
direction_thumbnail_forward,engagement,_hom_lag_z,-0.038168214208123406,0.0444910364898036,-0.8578854803005264,0.391225095537449,-0.1255075880328825,0.049171159616635686,778,14
direction_thumbnail_reverse,homogeneity,_eng_lag_z,-0.0019971950881732935,0.027168531508025416,-0.07351133746714777,0.9414181908346937,-0.055329828921080154,0.051335438744733564,790,14
direction_title_forward,engagement,_hom_lag_z,-0.033856573932034326,0.04620736340916206,-0.732709495502641,0.4639606571368242,-0.12456523133034424,0.056852083466275585,778,14
direction_title_reverse,homogeneity,_eng_lag_z,0.01972359658986078,0.03934908992801594,0.5012465758659869,0.6163399393960125,-0.057519834994547325,0.09696702817426889,790,14
direction_combined_forward,engagement,_hom_lag_z,-0.04033007967493835,0.05327947203558585,-0.7569534406797711,0.44931143188029,-0.144921837755654,0.06426167840577729,778,14
direction_combined_reverse,homogeneity,_eng_lag_z,0.011853829488511023,0.037708993086865955,0.3143501992006176,0.7533396782124999,-0.06217004331136282,0.08587770228838486,790,14
