model,outcome,term,coef,se,t,p,ci_low,ci_high,n_obs,n_channels
core_thumbnail,engagement_rate,formula_adherence_thumbnail_z,-0.0006807721696417549,0.00035549350729497883,-1.9150059162033266,0.05550274759821883,-0.0013775591917506629,1.6014852467153033e-05,26149,238
core_title,engagement_rate,formula_adherence_title_z,-0.0006404653867295772,0.00035516967893814324,-1.8032659450108108,0.07135807087141655,-0.0013366176860150623,5.5686912555907896e-05,26150,238
core_combined,engagement_rate,formula_adherence_combined_z,-0.0008674257069232546,0.000346787292450992,-2.5013191826970975,0.012379281036023482,-0.001547148064304128,-0.00018770334954238126,26149,238
core_thumbnail_logviews,log_views,formula_adherence_thumbnail_z,-0.06812346283036419,0.018589689877458723,-3.664583071553473,0.000248226463785306,-0.10456025485742801,-0.03168667080330037,26658,238
core_title_logviews,log_views,formula_adherence_title_z,0.06179303381607724,0.015893208436910045,3.8880150638791364,0.0001013144110328934,0.030641490499782018,0.09294457713237246,26659,238
core_combined_logviews,log_views,formula_adherence_combined_z,-0.0036442278353872744,0.01757455744656801,-0.20735815661172882,0.8357317568050344,-0.03809130569787305,0.030802850027098504,26658,238
week_thumbnail,engagement_rate,_hom_thumbnail_z,0.0005732595304251797,0.0003114266028032392,1.8407532473626467,0.0656844949024018,-3.719219426806129e-05,0.0011837112551184208,11296,234
week_title,engagement_rate,_hom_title_z,-0.0005919357902687673,0.0004880714143487304,-1.212805693729535,0.2252300192272183,-0.001548642873031682,0.00036477129249414735,11296,234
week_combined,engagement_rate,_hom_combined_z,-0.0002074960880465373,0.00037670663644016607,-0.5508161204892784,0.5817708567496793,-0.0009459083298021964,0.0005309161537091217,11296,234
direction_thumbnail_forward,engagement,_hom_lag_z,0.025601052843490606,0.011231820594492603,2.279332422389634,0.022666679127127942,0.0035846282113773387,0.047617477475603874,11064,234
direction_thumbnail_reverse,homogeneity,_eng_lag_z,0.028586330572508287,0.011500538416650835,2.485651500552367,0.012946287532766387,0.0060431926422481325,0.05112946850276844,11163,234
direction_title_forward,engagement,_hom_lag_z,0.013161493022888117,0.012065602532249297,1.0908276638244705,0.27537299178949004,-0.010489296851956922,0.03681228289773315,11064,234
direction_title_reverse,homogeneity,_eng_lag_z,0.013429181387804514,0.011690137436691554,1.1487616343717795,0.25067942661864984,-0.0094856049562405,0.03634396773184953,11163,234
direction_combined_forward,engagement,_hom_lag_z,0.023443541226968803,0.011457880291226791,2.046062677484887,0.04077430564393336,0.000983998203350326,0.045903084250587284,11064,234
direction_combined_reverse,homogeneity,_eng_lag_z,0.023876326840347985,0.011852312205266106,2.0144868298136362,0.04398289735729555,0.000643648581652178,0.047109005099043796,11163,234
robust_thumbnail,engagement_rate,formula_adherence_thumbnail_z,-8.999277782996618e-05,0.001014636790057562,-0.08869457397150042,0.9293269923461662,-0.00207896252668508,0.0018989769710251474,7639,71
