model,outcome,term,coef,se,t,p,ci_low,ci_high,n_obs,n_channels
core_thumbnail,engagement_rate,formula_adherence_thumbnail_z,-0.001957962189515963,0.000625356208196135,-3.1309550682542726,0.001750206289450995,-0.0031838687750575913,-0.0007320556039743346,6499,72
core_title,engagement_rate,formula_adherence_title_z,-0.0016474246800602817,0.0004645786662611067,-3.5460618399002874,0.0003938201851394485,-0.0025581536997888446,-0.0007366956603317189,6499,72
core_combined,engagement_rate,formula_adherence_combined_z,-0.0021136796649035452,0.0006018496609835137,-3.511972842934682,0.0004478496554065625,-0.0032935055836929863,-0.0009338537461141042,6499,72
core_thumbnail_logviews,log_views,formula_adherence_thumbnail_z,0.08445709009449878,0.023725595671171915,3.559745823246893,0.0003738802594523971,0.0379470695795956,0.13096711060940197,6539,72
core_title_logviews,log_views,formula_adherence_title_z,0.16529885065724423,0.022739748991530733,7.269158983188806,4.04343225568482e-13,0.12072141594251015,0.2098762853719783,6539,72
core_combined_logviews,log_views,formula_adherence_combined_z,0.15466967337248272,0.023346444958518574,6.6249775350078455,3.752909094600909e-11,0.10890291375050515,0.2004364329944603,6539,72
wearout_thumbnail_dose,engagement_rate,dose_thumbnail_z,-0.00034829727638514797,0.0002625517094356338,-1.3265854453350463,0.1846930012485588,-0.0008629861295921622,0.0001663915768218663,6499,72
wearout_thumbnail_winshare,engagement_rate,winshare_thumbnail_z,-0.0003565577050701637,0.00026165515407831707,-1.3627008660545663,0.17302456446177028,-0.0008694890109746452,0.00015637360083431786,6499,72
wearout_thumbnail_streak,engagement_rate,streak_thumbnail_z,-2.1677024357743655e-05,0.00019188003953710028,-0.11297175261188318,0.9100564793985917,-0.0003978258512496057,0.00035447180253411845,6499,72
wearout_thumbnail_nonlin_lin,engagement_rate,dose_thumbnail_z,-0.00031921448267283796,0.0002762625965513907,-1.1554748513103812,0.24793899961630106,-0.0008607812600483298,0.00022235229470265387,6499,72
wearout_thumbnail_nonlin_sq,engagement_rate,dose_thumbnail_z_sq,8.926344324701363e-05,0.00010705880481426463,0.8337795606991502,0.40443621577110855,-0.0001206075006907325,0.0002991343871847598,6499,72
wearout_thumbnail_rebound,engagement_rate,tmpl_sim_thumbnail_z,-0.002004557609002552,0.0006328231653654014,-3.167642587554599,0.0015439224259243822,-0.003245099364433479,-0.0007640158535716251,6570,72
wearout_title_dose,engagement_rate,dose_title_z,-3.1824077625317685e-05,0.00029027979943856385,-0.10963242253463483,0.9127043200350795,-0.0006008692284009359,0.0005372210731503005,6499,72
wearout_title_winshare,engagement_rate,winshare_title_z,-9.75899202320411e-06,0.00030218583448089276,-0.03229467072792644,0.9742380622589879,-0.0006021439395015403,0.000582625955455132,6499,72
wearout_title_streak,engagement_rate,streak_title_z,-2.7084174421484797e-05,0.00020219222313129197,-0.13395260214285243,0.8934442499949315,-0.00042344831798206547,0.0003692799691390958,6499,72
wearout_title_nonlin_lin,engagement_rate,dose_title_z,-1.1742146197296884e-05,0.0002821822645320074,-0.041611921347257434,0.9668093627942047,-0.0005649134460503697,0.0005414291536557759,6499,72
wearout_title_nonlin_sq,engagement_rate,dose_title_z_sq,8.511292377912928e-05,0.00012725095541646906,0.6688588191779801,0.5036095759162933,-0.0001643413660998479,0.0003345672136581065,6499,72
wearout_title_rebound,engagement_rate,tmpl_sim_title_z,-0.0019995048608428653,0.0005204070258090521,-3.8421942089162417,0.0001231013580809126,-0.003019673970744172,-0.0009793357509415583,6570,72
wearout_combined_dose,engagement_rate,dose_combined_z,-0.0001836780783300654,0.0002432671150652511,-0.7550468886055468,0.4502485246476573,-0.0006605626994397525,0.00029320654277962166,6499,72
wearout_combined_winshare,engagement_rate,winshare_combined_z,-0.0001845002629415218,0.00025620337496425484,-0.7201320551193483,0.4714698888246127,-0.0006867442648243072,0.00031774373894126354,6499,72
wearout_combined_streak,engagement_rate,streak_combined_z,6.660128349563839e-05,0.00022683507841346335,0.29361104094420964,0.769064621402741,-0.0003780710693399484,0.0005112736363312251,6499,72
wearout_combined_nonlin_lin,engagement_rate,dose_combined_z,-0.0001354516201433641,0.000240232102794391,-0.5638364671822981,0.5728851131621058,-0.0006063866195119615,0.0003354833792252332,6499,72
wearout_combined_nonlin_sq,engagement_rate,dose_combined_z_sq,0.00019727932036552994,0.00010993064167767034,1.7945799037903942,0.07276765567244126,-1.8221381109709858e-05,0.0004127800218407697,6499,72
wearout_combined_rebound,engagement_rate,tmpl_sim_combined_z,-0.0024152010045436776,0.0006416294644061487,-3.764167854696376,0.00016857829340888308,-0.0036730060054889343,-0.0011573960035984206,6570,72
