model,outcome,term,coef,se,t,p,ci_low,ci_high,n_obs,n_channels
core_thumbnail,engagement_rate,formula_adherence_thumbnail_z,-0.0015736507511459222,0.0005381892295946731,-2.923972953399842,0.003465398916392637,-0.002628637865618082,-0.0005186636366737623,8280,72
core_title,engagement_rate,formula_adherence_title_z,-0.0011562967378829867,0.00039412591110924697,-2.933825727490612,0.003357390472500388,-0.0019288832833495423,-0.0003837101924164312,8280,72
core_combined,engagement_rate,formula_adherence_combined_z,-0.0016699062153699889,0.0004980150499309066,-3.353123998163645,0.0008026649061145807,-0.0026461417689614465,-0.0006936706617785312,8280,72
core_thumbnail_logviews,log_views,formula_adherence_thumbnail_z,0.04093286309517447,0.027038938867763374,1.5138487237003169,0.13010251878006573,-0.012070259380777021,0.09393598557112597,8324,72
core_title_logviews,log_views,formula_adherence_title_z,0.15494510955701926,0.021991043695073657,7.04582791546767,1.991962150782456e-12,0.11183713153893049,0.19805308757510803,8324,72
core_combined_logviews,log_views,formula_adherence_combined_z,0.12367999939688731,0.02470410977646437,5.006454412484734,5.658966297783508e-07,0.07525372932227314,0.17210626947150148,8324,72
wearout_thumbnail_dose,engagement_rate,dose_thumbnail_z,-0.0002749071580774883,0.00022214013852780377,-1.2375393294493693,0.21592233131954774,-0.000710358056881973,0.00016054374072699637,8280,72
wearout_thumbnail_winshare,engagement_rate,winshare_thumbnail_z,-0.00022671529926927006,0.00022374305683101536,-1.0132841773074528,0.31095431820981245,-0.0006653083236727998,0.00021187772513425973,8280,72
wearout_thumbnail_streak,engagement_rate,streak_thumbnail_z,-3.5301972494987676e-05,0.0001754543511117756,-0.2012031749072901,0.8405446958286253,-0.0003792369110302747,0.0003086329660402993,8280,72
wearout_thumbnail_nonlin_lin,engagement_rate,dose_thumbnail_z,-0.0002652127709509857,0.00022964838403504361,-1.1548645206687589,0.24817954247908558,-0.0007153817395026187,0.00018495619760064733,8280,72
wearout_thumbnail_nonlin_sq,engagement_rate,dose_thumbnail_z_sq,3.238777159175877e-05,8.821451364235129e-05,0.3671478791241624,0.7135181834146449,-0.0001405350067875631,0.0002053105499710806,8280,72
wearout_thumbnail_rebound,engagement_rate,tmpl_sim_thumbnail_z,-0.0016462299812005359,0.0005684538315465852,-2.8959783360447386,0.0037896808227251277,-0.002760541965898532,-0.0005319179965025398,8351,72
wearout_title_dose,engagement_rate,dose_title_z,7.96782725134193e-05,0.00022258474693171145,0.3579682507978161,0.720376280581462,-0.00035664417130035865,0.0005160007163271973,8280,72
wearout_title_winshare,engagement_rate,winshare_title_z,0.00012394852809476255,0.0002188664789847137,0.5663202911187669,0.5711915561843308,-0.0003050851693886739,0.000552982225578199,8280,72
wearout_title_streak,engagement_rate,streak_title_z,0.00023348837234650306,0.00016299277978093615,1.4325074562217643,0.15203673707007415,-8.601873215350868e-05,0.0005529954768465148,8280,72
wearout_title_nonlin_lin,engagement_rate,dose_title_z,0.00012894904312138166,0.0002154179216758624,0.5985994206898451,0.5494565667592588,-0.00029332461674274105,0.0005512227029855044,8280,72
wearout_title_nonlin_sq,engagement_rate,dose_title_z_sq,0.0001871521894669865,0.00010788044121804337,1.7348111238136525,0.08281181714043262,-2.4320785420617688e-05,0.0003986251643545907,8280,72
wearout_title_rebound,engagement_rate,tmpl_sim_title_z,-0.0014151247010529245,0.0004512952014447775,-3.1356963170061216,0.0017204695475978582,-0.0022997764066073102,-0.000530472995498539,8351,72
wearout_combined_dose,engagement_rate,dose_combined_z,-7.946181690806714e-05,0.0001969912915480661,-0.40337730812165556,0.6866811872512071,-0.0004656146100491643,0.00030669097623303,8280,72
wearout_combined_winshare,engagement_rate,winshare_combined_z,-2.5631218539045614e-05,0.00018488658650554925,-0.13863211509005988,0.8897442659033907,-0.0003880557258986544,0.00033679328882056317,8280,72
wearout_combined_streak,engagement_rate,streak_combined_z,0.0001861779558183967,0.00018297100954194138,1.0175270731930908,0.30893275817760846,-0.00017249153582878687,0.0005448474474655802,8280,72
wearout_combined_nonlin_lin,engagement_rate,dose_combined_z,-2.9897248424877493e-05,0.00019250974761998954,-0.155302517376388,0.876586651316922,-0.0004072650878998618,0.0003474705910501068,8280,72
wearout_combined_nonlin_sq,engagement_rate,dose_combined_z_sq,0.00018424445096358927,0.0001076717381359183,1.7111681686703173,0.08708786907569421,-2.6819413049542325e-05,0.00039530831497672084,8280,72
wearout_combined_rebound,engagement_rate,tmpl_sim_combined_z,-0.0019352575469120934,0.0005552643095197783,-3.48529072323378,0.0004941497291517383,-0.0030237147626714714,-0.0008468003311527157,8351,72
week_thumbnail,engagement_rate,_hom_thumbnail_z,-0.001273485539830038,0.0004100057983011627,-3.106018366341788,0.001913821406671401,-0.0020774037999803647,-0.0004695672796797115,3098,72
week_title,engagement_rate,_hom_title_z,-0.0009600780051355847,0.0003219922417301723,-2.981680552229345,0.002889576623387846,-0.0015914238149416344,-0.00032873219532953497,3098,72
week_combined,engagement_rate,_hom_combined_z,-0.0011925749805827726,0.0003791920823473873,-3.1450418827316784,0.0016767437676350472,-0.001936075292935859,-0.00044907466822968636,3098,72
direction_thumbnail_forward,engagement,_hom_lag_z,-0.028657412651150533,0.018965086259351914,-1.5110615506438425,0.13087976581348082,-0.06584354028867476,0.008528714986373694,3025,71
direction_thumbnail_reverse,homogeneity,_eng_lag_z,-0.02000239309698583,0.02188574515671147,-0.9139461760959009,0.3608190675864984,-0.0629150947947042,0.02291030860073253,3053,72
direction_title_forward,engagement,_hom_lag_z,-0.03462988655226748,0.0204673786684675,-1.6919551405778726,0.09076002924537807,-0.07476166054806802,0.0055018874435330545,3025,71
direction_title_reverse,homogeneity,_eng_lag_z,0.00034805948382373065,0.021609889284845564,0.01610649084018285,0.9871505134545355,-0.04202375495343435,0.04271987392108181,3053,72
direction_combined_forward,engagement,_hom_lag_z,-0.0335126634223695,0.020229281668293027,-1.6566412971003601,0.09769825344632244,-0.07317758452240566,0.00615225767766666,3025,71
direction_combined_reverse,homogeneity,_eng_lag_z,-0.003751959316626481,0.023046428010400234,-0.1628000362977431,0.8706869180614041,-0.04894048195209932,0.041436563318846355,3053,72
robust_thumbnail,engagement_rate,formula_adherence_thumbnail_z,-0.0025366787413260653,0.001398900594696336,-1.8133373814718483,0.0699056037022705,-0.005279867408115841,0.00020650992546371056,2405,21
